Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"R43","22KΩ","R_0603_1608Metric",-166.370000,-135.890000,90.000000,bottom
"R44","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-130.706500,-90.000000,bottom
"R45","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-130.706500,90.000000,bottom
"R47","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-131.572000,180.000000,bottom
"R48","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-136.652000,0.000000,bottom
"R50","22KΩ","R_0603_1608Metric",-166.370000,-126.087500,90.000000,bottom
"R51","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-120.904000,-90.000000,bottom
"R52","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-120.904000,90.000000,bottom
"R54","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-141.224000,180.000000,bottom
"R55","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-146.304000,0.000000,bottom
"R57","22KΩ","R_0603_1608Metric",-166.370000,-116.181500,90.000000,bottom
"R58","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-110.998000,-90.000000,bottom
"R59","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-110.998000,90.000000,bottom
"R61","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-92.964000,180.000000,bottom
"R62","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-98.044000,0.000000,bottom
"R64","22KΩ","R_0603_1608Metric",-166.370000,-106.172000,90.000000,bottom
"R65","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-100.988500,-90.000000,bottom
"R66","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-100.988500,90.000000,bottom
"R68","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-102.616000,180.000000,bottom
"R69","33KΩ/0.5W","R_0805_2012Metric",-119.380000,-107.696000,0.000000,bottom
"R71","22KΩ","R_0603_1608Metric",-166.370000,-96.266000,90.000000,bottom
"R72","33KΩ/0.5W","R_0805_2012Metric",-164.592000,-91.082500,-90.000000,bottom
"R73","33KΩ/0.5W","R_0805_2012Metric",-162.306000,-91.082500,90.000000,bottom
